Bamboo,v. t.,To flog with the bamboo.
Band,v. t.,"A narrow strip of cloth or other material on any article of dress, to bind, strengthen, ornament, or complete it."
Bandrol,n.,"A little banner, flag, or streamer."
Bane,n.,Destruction; death.
Bank,n.,"A mound, pile, or ridge of earth, raised above the surrounding level; hence, anything shaped like a mound or ridge of earth; as, a bank of clouds; a bank of snow."
Banker,n.,A vessel employed in the cod fishery on the banks of Newfoundland.
Banneret,n.,A civil officer in some Swiss cantons.
Banxring,n.,An East Indian insectivorous mammal of the genus Tupaia.
Bar,n.,The whole body of lawyers licensed in a court or district; the legal profession.
Barb,n.,"The Barbary horse, a superior breed introduced from Barbary into Spain by the Moors."
Barbarous,a.,Foreign; adapted to a barbaric taste.
Barbet,n.,A larva that feeds on aphides.
Bardling,n.,An inferior bard.
Barely,adv.,"But just; without any excess; with nothing to spare ( of quantity, time, etc.); hence, scarcely; hardly; as, there was barely enough for all; he barely escaped."
Barilla,n.,"A name given to several species of Salsola from which soda is made, by burning the barilla in heaps and lixiviating the ashes."
Barker,n.,One who strips trees of their bark.
Barocco,a.,See Baroque.
Barpost,n.,A post sunk in the ground to receive the bars closing a passage into a field.
Barreled,a.,Alt. of Barrelled
Barrow,n.,"A heap of rubbish, attle, etc."
Baritone,a.,"Grave and deep, as a kind of male voice."
Base,n.,"The lower part of a wall, pier, or column, when treated as a separate feature, usually in projection, or especially ornamented."
Baseborn,a.,Born out of wedlock.
Basic,a.,"Said of crystalline rocks which contain a relatively low percentage of silica, as basalt."
Basilicok,n.,The basilisk.
Bask,v. t.,To warm by continued exposure to heat; to warm with genial heat.
Bassa,n.,Alt. of Bassaw
Bastard,n.,"An inferior quality of soft brown sugar, obtained from the sirups that / already had several boilings."
Bastinadoing,p. pr. & vb. n.,of Bastinado
